Noncampuscrime060708[1,2,3].csv
Prince William Sound Community College,Main Campus,303 LOWE ST
Career Academy,Main Campus,1415 E TUDOR ROAD
Everest College-Phoenix,Phoenix Campus,10400 North 25th Avenue
Collins College,Collins College,4750 S. 44th Place
Collins College,Collins College Branch Campus,9630 North 25th Ave.
Empire Beauty School-Paradise Valley,Main Campus,12827 North Tatum Blvd.
Empire Beauty School-Tucson,Main Campus,3030 E SPEEDWAY BLVD
Thunderbird School of Global Management,MAIN CAMPUS,1 Global Place
American Indian College of the Assemblies of God Inc,Main Campus,10020 N 15TH AVE
American Institute of Technology,Main Campus,440 S 54TH AVE
Apollo College-Phoenix Inc,APOLLO COLLEGE-PHOENIX,8503 N 27TH AVE
Apollo College-Phoenix Inc,APOLLO COLLEGE-MESA,1322 South Country Club Drive
Apollo College-Phoenix Inc,APOLLO COLLEGE-TUCSON,3550 N ORACLE RD
Apollo College-Phoenix Inc,APOLLO COLLEGE-PHOENIX WESTSIDE,2701 W BETHANY HOME RD
Apollo College-Phoenix Inc,APOLLO COLLEGE-ALBUQUERQUE,1001 Menaul Blvd NE
Apollo College-Phoenix Inc,APOLLO COLLEGE-LAS VEGAS,5740 S. Eastern Avenue
College America,Main Campus,3012 East Route 66
Arizona Academy of Beauty Inc,Main Campus,5631 E SPEEDWAY BLVD
Arizona Automotive Institute,Arizona Automotive Institute,6829 N 46TH AVE
IIA College,Brookline College - Phoenix Campus,4240 W
Arizona State University,Tempe Campus,735 E. Apache Blvd.
Arizona State University,Downtown Phoenix Campus,411 N. Central Avenue
Arizona State University,Polytechnic Campus,7001 E. Williams Field Road
Arizona State University,West Campus,4701 W. Thunderbird Road
Arizona Western College,Main Campus,2020 S. Avenue 8E
Arizona Western College,Entrepreneurial Center,1351 S. Redondo Center Dr.
Arizona Western College,San Luis Learning Center,1340 N 8th Avenue
Arizona Western College,Somerton Center,1011 N. Somerton Ave.
Arizona Western College,Parker/La Paz County Center,601 W. 11th Street
University of Arizona,Main Campus,1401 E UNIVERSITY
The Art Center Design College-Tucson,Main Campus,2525 N COUNTRY CLUB RD
Toni & Guy Hairdressing Academy,Main Campus,7201 E CAMELBACK STE 100
Toni & Guy Hairdressing Academy,Phoenix Branch,15210 S. 50TH STREET SUITE 150
Central Arizona College,Main Campus-Signal Peak,8470 N OVERFIELD RD
Central Arizona College,ARAVAIPA CAMPUS,80440 EAST ARAVAIPA RD.
Central Arizona College,SUPERSTITION MOUNTAIN CAMPUS,273 OLD WEST HIGHWAY
Central Arizona College,FLORENCE CENTER (ASPC),800 E. BUTTE
Central Arizona College,CASA GRANDE CENTER,1015 EAST FLORENCE BLVD.
Central Arizona College,Coolidge Training & Assessment Center,168 S. Main Street
Central Arizona College,Johnson Ranch,29895 N. Desert Willow Blvd.
Central Arizona College,Maricopa Center,20800 N. John Wayne Parkway
Brown Mackie College-Tucson,Main Campus,4585 E. Speedway Blvd #204
Charles of Italy Beauty College,Main Campus,1987 MCCULLOCH BLVD
Cochise College,Main Campus,4190 W. Highway 80
Empire Beauty School-Flagstaff,Main Campus,1790 E RTE 66
Empire Beauty School-Chandler,Main Campus,2978 N ALMA SCHOOL RD  STE 1-3
Cortiva Institute-Tucson,Main Campus,6390 E. Broadway
DeVry University-Arizona,Phoenix Campus,2149 W DUNLAP AVE
DeVry University-Arizona,Northeast Phoenix Center,18500 N. Allied Way
DeVry University-Arizona,Mesa Center,1201 S. Alma School Road
Earls Academy of Beauty,Main Campus,2111 S ALMA SCHOOL RD STE 21
Earls Academy of Beauty,Earl's Academy of Beauty (Phoenix),1107 E. Bell Rd. #104
Eastern Arizona College,Main Campus,615 N. Stadium Avenue
Embry Riddle Aeronautical University-Prescott,Main Campus,3700 Willow Creek Road
Glendale Community College,Main Campus,6000 W OLIVE AVE
Grand Canyon University,Grand Canyon University,3300 W CAMELBACK RD
Anthem College-Phoenix,Anthem College - Phoenix,1515 E. INDIAN SCHOOL ROAD
International Academy of Hair Design,Main Campus,3350 N ARIZONA AVE STE 4
International Academy of Hair Design,INTERNATIONAL ACADEMY OF BEAUTY,4812 S Mill Ave
Lamson College,Main Campus,875 W Elliot Road Suite 206
Kaplan College,Main Campus,13610 N BLACK CYN HWY STE 104
Maricopa Beauty College LLC,Main Campus,515 W WESTERN AVE
Gateway Community College,Main Campus,108 N. 40TH Street
Mesa Community College,Mesa Community College,1833 W SOUTHERN AVE
Mesa Community College,Red Mountain Campus,7110 E. McKellips Rd.
ITT Technical Institute-Tucson,Main Campus,1455 WEST RIVER RD
ITT Technical Institute-Tempe,Main Campus,5005 S Wendler DR
Mohave Community College,Neal Campus - Kingman,1971 Jagerson Ave
Mohave Community College,Lake Havasu City Campus,1977 West Acoma Blvd
Mohave Community College,Henry Campus - Bullhead City,3400 Highway 95
Mohave Community College,North Mohave Campus,480 South Central
Universal Technical Institute-Motorcycle Mechanics,Universal Technical Institute-Motorcycle Mechanics Institute Division,2844 W DEER VALLEY RD
Dine College,Main Campus,Route 12
Dine College,Shiprock,Box 580
Dine College,Crownpoint,Box 57
Dine College,Window Rock,Box 1924
Dine College,Chinle,Box 1997
Dine College,Kayenta,Box 1790
Dine College,Tuba City,Box 1716
Dine College,Ganado,Box 387
Northern Arizona University,Main Campus,Knoles Drive
Northland Pioneer College,Main Campus - Painted Desert - PDC,2251 N. Navajo Boulevard
Northland Pioneer College,Little Colorado Campus - LCC,1400 E. Third St.
