Noncampuscrime060708[1,2,3,4].csv
Bevill State Community College,Main Campus,100 STATE ST,SUMITON
University of Alaska Anchorage,Anchorage Campus,3211 PROVIDENCE DR,ANCHORAGE
University of Alaska Anchorage,Matanuska-Susitna,Mile 2 Trunk Road,Palmer
University of Alaska Anchorage,Kenai River Campus,156 College Road,Soldotna
University of Alaska Anchorage,Kachemak Bay Campus,533 E. Pioneer Avenue,Homer
University of Alaska Anchorage,Kodiak College,117 Benny Benson Drive,Kodiak
University of Alaska Fairbanks,University of Alaska Fairbanks,P.O. Box 757480,FAIRBANKS
University of Alaska Fairbanks,Kuskokwim rural campus,201 Akiak Drive,Bethel
University of Alaska Fairbanks,Northwest rural campus,Pouch 400,Nome
University of Alaska Fairbanks,Bristol Bay rural campus,Box 1070,Dillingham
University of Alaska Fairbanks,Chukchi rural campus,Box 297,Kotzebue
University of Alaska Fairbanks,Interior- Aleutians campus,P.O. Box 756720,Fairbanks
University of Alaska Fairbanks,Tanana Valley campus,604 Barnette Street,Fairbanks
University of Alaska Southeast,Main Campus,11120 GLACIER HWY,JUNEAU
University of Alaska Southeast,University of Alaska Southeast - Ketchikan,2600 7th Ave,Ketchikan
University of Alaska Southeast,University of Alaska Southeast - Sitka,1332 Seward St,Sitka
Alaska Pacific University,Main Campus,4101 UNIVERSITY DR,ANCHORAGE
Alaska Vocational Technical Center,Residence Life Campus,516 3rd Avenue,SEWARD
Charter College,Main Campus,2221 E NORTHERN LIGHTS BLVD STE 120,ANCHORAGE
Prince William Sound Community College,Main Campus,303 LOWE ST,VALDEZ
Career Academy,Main Campus,1415 E TUDOR ROAD,ANCHORAGE
Everest College-Phoenix,Phoenix Campus,10400 North 25th Avenue,Suite 190
Collins College,Collins College,4750 S. 44th Place,Phoenix
Collins College,Collins College Branch Campus,9630 North 25th Ave.,Phoenix
Empire Beauty School-Paradise Valley,Main Campus,12827 North Tatum Blvd.,Phoenix
Empire Beauty School-Tucson,Main Campus,3030 E SPEEDWAY BLVD,TUCSON
Thunderbird School of Global Management,MAIN CAMPUS,1 Global Place,GLENDALE
American Indian College of the Assemblies of God Inc,Main Campus,10020 N 15TH AVE,PHOENIX
American Institute of Technology,Main Campus,440 S 54TH AVE,PHOENIX
Apollo College-Phoenix Inc,APOLLO COLLEGE-PHOENIX,8503 N 27TH AVE,PHOENIX
Apollo College-Phoenix Inc,APOLLO COLLEGE-MESA,1322 South Country Club Drive,MESA
Apollo College-Phoenix Inc,APOLLO COLLEGE-TUCSON,3550 N ORACLE RD,TUCSON
Apollo College-Phoenix Inc,APOLLO COLLEGE-PHOENIX WESTSIDE,2701 W BETHANY HOME RD,PHOENIX
Apollo College-Phoenix Inc,APOLLO COLLEGE-ALBUQUERQUE,1001 Menaul Blvd NE,ALBUQUERQUE
Apollo College-Phoenix Inc,APOLLO COLLEGE-LAS VEGAS,5740 S. Eastern Avenue,Suite 140
College America,Main Campus,3012 East Route 66,Flagstaff
Arizona Academy of Beauty Inc,Main Campus,5631 E SPEEDWAY BLVD,TUCSON
Arizona Automotive Institute,Arizona Automotive Institute,6829 N 46TH AVE,GLENDALE
IIA College,Brookline College - Phoenix Campus,4240 W,Bethany Home Road
Arizona State University,Tempe Campus,735 E. Apache Blvd.,TEMPE
Arizona State University,Downtown Phoenix Campus,411 N. Central Avenue,Phoenix
Arizona State University,Polytechnic Campus,7001 E. Williams Field Road,Mesa
Arizona State University,West Campus,4701 W. Thunderbird Road,Glendale
Arizona Western College,Main Campus,2020 S. Avenue 8E,YUMA
Arizona Western College,Entrepreneurial Center,1351 S. Redondo Center Dr.,Yuma
Arizona Western College,San Luis Learning Center,1340 N 8th Avenue,San Luis
Arizona Western College,Somerton Center,1011 N. Somerton Ave.,Somerton
Arizona Western College,Parker/La Paz County Center,601 W. 11th Street,Parker
University of Arizona,Main Campus,1401 E UNIVERSITY,TUCSON
The Art Center Design College-Tucson,Main Campus,2525 N COUNTRY CLUB RD,TUCSON
Toni & Guy Hairdressing Academy,Main Campus,7201 E CAMELBACK STE 100,SCOTTSDALE
Toni & Guy Hairdressing Academy,Phoenix Branch,15210 S. 50TH STREET SUITE 150,PHOENIX
Central Arizona College,Main Campus-Signal Peak,8470 N OVERFIELD RD,COOLIDGE
Central Arizona College,ARAVAIPA CAMPUS,80440 EAST ARAVAIPA RD.,WINKELMAN
Central Arizona College,SUPERSTITION MOUNTAIN CAMPUS,273 OLD WEST HIGHWAY,APACHE JUNCTION
Central Arizona College,FLORENCE CENTER (ASPC),800 E. BUTTE,BLDG 100
Central Arizona College,CASA GRANDE CENTER,1015 EAST FLORENCE BLVD.,CASA GRANDE
Central Arizona College,Coolidge Training & Assessment Center,168 S. Main Street,Coolidge
Central Arizona College,Johnson Ranch,29895 N. Desert Willow Blvd.,Queen Creek
Central Arizona College,Maricopa Center,20800 N. John Wayne Parkway,Ste.104
Brown Mackie College-Tucson,Main Campus,4585 E. Speedway Blvd #204,Tucson
Charles of Italy Beauty College,Main Campus,1987 MCCULLOCH BLVD,Suite 205
Cochise College,Main Campus,4190 W. Highway 80,Douglas
Empire Beauty School-Flagstaff,Main Campus,1790 E RTE 66,FLAGSTAFF
Empire Beauty School-Chandler,Main Campus,2978 N ALMA SCHOOL RD  STE 1-3,CHANDLER
Cortiva Institute-Tucson,Main Campus,6390 E. Broadway,TUCSON
DeVry University-Arizona,Phoenix Campus,2149 W DUNLAP AVE,PHOENIX
DeVry University-Arizona,Northeast Phoenix Center,18500 N. Allied Way,Suite 150
DeVry University-Arizona,Mesa Center,1201 S. Alma School Road,Suite 5450
Earls Academy of Beauty,Main Campus,2111 S ALMA SCHOOL RD STE 21,MESA
Earls Academy of Beauty,Earl's Academy of Beauty (Phoenix),1107 E. Bell Rd. #104,Phoenix
Eastern Arizona College,Main Campus,615 N. Stadium Avenue,Thatcher
Embry Riddle Aeronautical University-Prescott,Main Campus,3700 Willow Creek Road,PRESCOTT
Glendale Community College,Main Campus,6000 W OLIVE AVE,GLENDALE
Grand Canyon University,Grand Canyon University,3300 W CAMELBACK RD,PHOENIX
Anthem College-Phoenix,Anthem College - Phoenix,1515 E. INDIAN SCHOOL ROAD,PHOENIX
International Academy of Hair Design,Main Campus,3350 N ARIZONA AVE STE 4,CHANDLER
International Academy of Hair Design,INTERNATIONAL ACADEMY OF BEAUTY,4812 S Mill Ave,Tempe
Lamson College,Main Campus,875 W Elliot Road Suite 206,TEMPE
Kaplan College,Main Campus,13610 N BLACK CYN HWY STE 104,PHOENIX
Maricopa Beauty College LLC,Main Campus,515 W WESTERN AVE,AVONDALE
Gateway Community College,Main Campus,108 N. 40TH Street,Phoenix
Mesa Community College,Mesa Community College,1833 W SOUTHERN AVE,MESA
Mesa Community College,Red Mountain Campus,7110 E. McKellips Rd.,Mesa
ITT Technical Institute-Tucson,Main Campus,1455 WEST RIVER RD,TUCSON
ITT Technical Institute-Tempe,Main Campus,5005 S Wendler DR,Tempe
Mohave Community College,Neal Campus - Kingman,1971 Jagerson Ave,Kingman
Mohave Community College,Lake Havasu City Campus,1977 West Acoma Blvd,Lake Havasu City
Mohave Community College,Henry Campus - Bullhead City,3400 Highway 95,Bullhead City
Mohave Community College,North Mohave Campus,480 South Central,Colorado City
Universal Technical Institute-Motorcycle Mechanics,Universal Technical Institute-Motorcycle Mechanics Institute Division,2844 W DEER VALLEY RD,PHOENIX
Dine College,Main Campus,Route 12,NHC Bldg. 1st Floor
Dine College,Shiprock,Box 580,Shiprock
Dine College,Crownpoint,Box 57,Crownpoint
Dine College,Window Rock,Box 1924,Window Rock
Dine College,Chinle,Box 1997,Chinle
Dine College,Kayenta,Box 1790,Kayenta
Dine College,Tuba City,Box 1716,Tuba City
Dine College,Ganado,Box 387,Ganado
Northern Arizona University,Main Campus,Knoles Drive,Babbit Administrative Ctr
Northland Pioneer College,Main Campus - Painted Desert - PDC,2251 N. Navajo Boulevard,HOLBROOK
Northland Pioneer College,Little Colorado Campus - LCC,1400 E. Third St.,Winslow
Northland Pioneer College,Silver Creek Campus - SCC,1610 S. Main St.,Snowflake
Northland Pioneer College,White Mountain Campus - WMC,1001 W. Duece of Clubs,Show Low
Northland Pioneer College,Heber Center,300 N. Mustang Drive,Heber
Northland Pioneer College,Hopi Center,First Mesa - P.O. Box 1210,Keams Canyon
Northland Pioneer College,Kayenta Center,Kayenta Challenge Center,Box 248
Northland Pioneer College,Springerville/Eagar Center,578 N. Main St.,Eagar
Northland Pioneer College,St. Johns Center,65 S. 3rd West,St. Johns
Northland Pioneer College,Whiteriver Center,720 S. Chief,Whiteriver
Ottawa University-Phoenix,Arizona Main Campus,10020 N. 25th Avenue,PHOENIX
Artistic Beauty Colleges-NW Phoenix,Main Campus,2727 West Glendale Avenue #200,GLENDALE
Phoenix College,Main Campus,1202 W THOMAS RD,PHOENIX
Cortiva Institute-Scottsdale,Cortiva Institute-Scottsdale,8010 E McDowell Road #214,SCOTTSDALE
University of Phoenix-Phoenix-Hohokam Campus,Main Campus,4635 E. ELWOOD STREET,PHOENIX
University of Phoenix-Phoenix-Hohokam Campus,Northwest Campus-Phoenix,2550 West Union Hills Drive,Suite #100
University of Phoenix-Phoenix-Hohokam Campus,Mesa Campus,1620 South Stapley Drive,Mesa
University of Phoenix-Phoenix-Hohokam Campus,Scottsdale Campus,8801 E Raintree Road,Scottsdale
University of Phoenix-Phoenix-Hohokam Campus,Chandler Campus,2975 West Linda Lane,Chandler
University of Phoenix-Phoenix-Hohokam Campus,West Valley Campus,9520 W. Palm Lane,Phoenix
Pima Community College,West Campus,2202 W. Anklam Rd.,Tucson
Pima Community College,Downtown Campus,1255 N. Stone Ave.,Tucson
Pima Community College,District Office,4905D  E. Broadway Blvd.,Tucson
Pima Community College,Community Campus,401 N. Bonita,Tucson
Pima Community College,East Campus,8181 E. Irvington Rd.,Tucson
Pima Community College,Desert Vista Campus,5901 S. Calle Santa Cruz,Tucson
Pima Community College,Northwest Campus,7600 N. Shannon,Tucson
Pima Community College,Northeast Learning Center,7816 E. Wrightstown Rd.,Tucson
Pima Community College,El Rio Adult Education Center,1390 W. Speedway Blvd.,Tucson
Pima Community College,El Pueblo Adult Education Center,101 W. Irvington Rd.,Tucson
Pima Community College,Lindsey Adult Education Center,1602 S. 3rd Ave.,South Tucson
Pima Community College,Eastside Adult Education Center,1630 S. Alvernon,Tucson
Pima Community College,Aviation Technology Center,7211 S. Park,Tucson
Pima Medical Institute,Main Campus,3350 E GRANT RD,TUCSON
Pima Medical Institute,Albuquerque Campus,2201 SAN PEDRO NE BLDG 3 STE 100,ALBUQUERQUE
Prescott College,Prescott College,220 GROVE AVE,PRESCOTT
Refrigeration School Inc,Main Campus,4210 E WASHINGTON,PHOENIX
Rio Salado College,Main Campus-Tempe,2323 W 14TH ST,Tempe
Roberto-Venn School of Luthiery,Main Campus,4011 S 16TH ST,PHOENIX
Hair Academy of Safford,Main Campus,1550 WEST THATCHER BLVD,SAFFORD
Scottsdale Community College,Main Campus,9000 E CHAPARRAL RD,SCOTTSDALE
South Mountain Community College,SOUTH MOUNTAIN COMMUNITY COLLEGE,7050 S 24TH ST,PHOENIX
Southwestern College,Main Campus,2625 E CACTUS RD,PHOENIX
Tucson College,Main Campus,7310 E 22ND ST,TUCSON
Universal Technical Institute of Arizona Inc,Universal Technical Institute of Arizona,Inc.,10695 West Pierce Street
Western International University,Phoenix Campus,9215 N BLACK CYN HWY,PHOENIX
Western International University,Chandler,55 N. Arizona Place,Chandler
Western International University,Fort Huachuca,Buffalo Soldier Train/Educat Ctr,Bldg #52104
Western International University,Scottsdale Campus,8860 E. Chaparral,Suite 120
Western International University,Peoria Campus,14100 North 83rd Avenue,Peoria
Empire Beauty School-NW Phoenix,Main Campus,10820 North 43rd Avenue,GLENDALE
Yavapai College,Yavapai College - Prescott Campus,1100 E Sheldon St,Prescott
Yavapai College,Yavapai College -Verde Campus,601 Black Hills Dr.,Clarkdale
Yavapai College,Yavapai College - Chino Agribusiness,2275 Old Home Manor Way,Chino Valley
Yavapai College,Yavapai College - Prescott Valley Extension,6955 Panther Path,Prescott Valley
Yavapai College,Yavapai College - Sedona Center,4215 Arts Village Dr.,Sedona
Yavapai College,Yavapai College - CTEC Campus,220 Ruger Rd.,Prescott
University of Arkansas at Little Rock,University of Arkansas,Little Rock,2801 S UNIVERSITY AVE
University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,4301 W MARKHAM SLOT 601,LITTLE ROCK
Arkadelphia Beauty College,ABC Beauty College,2708 W PINE,ARKADELPHIA
Arkansas Baptist College,Arkansas Baptist College,1621 Martin Luther King Drive,LITTLE ROCK
Arkansas Beauty School,Main Campus,5108 BASELINE RD,LITTLE ROCK
Arkansas Beauty College,Main Campus,109 N Commerce St,Russellville
Lyon College,Main Campus,2300 HIGHLAND ROAD,BATESVILLE
Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,200 E WASHINGTON AVE,NORTH LITTLE ROCK
Arkansas College of Barbering and Hair Design,Arkansas College of Barbering and Hair Design,2500 S. State Street,Little Rock
Arthur's Beauty College Inc-Fort Smith,Arthurs Beauty College-Fort Smith,2000 NORTH B ST,FT SMITH
University of Arkansas Main Campus,Main Campus,ADMINISTRATION BLDG 422,FAYETTEVILLE
University of Arkansas at Pine Bluff,UAPB - University of Arkansas at Pine Bluff,1200 N UNIVERSITY MAIL SLOT 4967,PINE BLUFF
Arkansas State University-Beebe,Main Campus,1000 IOWA STREET,BEEBE
Arkansas State University-Main Campus,Jonesboro,2105 E. Aggie Road,State University
Arkansas Tech University,Main Campus,Hwy 7 North,RUSSELLVILLE
Arkansas Tech University,Arkansas Tech University - Ozark Campus,Hwy. 23,Ozark
University of Arkansas at Monticello,University of Arkansas at Monticello,Highway 425 South,Monticello
Arthur's Beauty College Inc,Arthur's Beauty College,Inc.-Jacksonville,2600 JOHN HARDEN DR
Baptist Health Schools-Little Rock,Main Campus,11900 COL GLENN RD STE 1000,LITTLE ROCK
